ID,year,month,day,name,route_id,Nombre Ref 1,Link Ref 1,Nombre Ref 2,Link Ref 2,Nombre Ref 3,Link Ref 3,Nombre Ref 4,Link Ref 4
37,1935,2,9,Primera Absoluta.,582,,,,,,,,
38,1935,,,Primera Absoluta.,299,,,,,,,,
39,1935,,,Primera Absoluta.,618,,,,,,,,
40,1935,,,Primera Absoluta.,300,,,,,,,,
41,1936,,,Primera Absoluta.,630,,,,,,,,
42,1937,,,Primera Ascensión desde Chile.,461,,,,,,,,
43,1937,2,5,Primera Absoluta.,365,,,,,,,,
44,1938,2,21,Primera Absoluta.,587,,,,,,,,
45,1938,12,26,Tercera Ascensión.,560,,,,,,,,
46,1939,,,Posible Primer Ascenso (según Alfredo Magnani).,691,,,,,,,,
47,1939,1,30,Primera Absoluta.,396,,,,,,,,
48,1939,2,24,Segunda Ascención.,587,,,,,,,,
49,1939,4,8,Primera Absoluta.,294,,,,,,,,
50,1939,4,11,Primera Absoluta.,548,,,,,,,,
51,1939,,,Primera Ascensión por la Cara Sur.,630,,,,,,,,
52,1940,2,12,Primera Absoluta.,489,,,,,,,,
53,1940,12,31,Tercera Ascensión. Primera por Ventisquero Colgante,587,,,,,,,,
54,1941,,,Primera por Glaciar San Francisco.,437,,,,,,,,
55,1941,12,27,Primera Absoluta.,403,,,,,,,,
56,1942,2,6,Primera por Glaciar Loma Larga Sur.,378,,,,,,,,
57,1942,2,16,Primera Absoluta.,337,,,,,,,,
58,1942,2,18,Segunda Ascensión. (misma ruta),548,,,,,,,,
59,1942,2,23,Primera Absoluta.,879,,,,,,,,
60,1942,4,4,Primera Absoluta.,387,,,,,,,,
61,1942,11,25,Primera Absoluta.,748,,,,,,,,
62,1942,,,Primera Absoluta.,753,,,,,,,,
63,1943,3,4,Primera por la ruta del sur (actual ruta normal),432,,,,,,,,
64,1943,2,8,Primera Absoluta.,502,,,,,,,,
65,1943,2,,Primera Absoluta.,590,,,,,,,,
66,1943,2,,Primera Absoluta.,589,,,,,,,,
67,1943,4,24,Primera Absoluta.,436,,,,,,,,
68,1943,10,31,Primera Absoluta .,343,,,,,,,,
69,1944,2,11,Primera Absoluta.,471,,,,,,,,
70,1944,12,17,Primera Absoluta.,467,,,,,,,,
71,1945,,,Primera Absoluta.,341,,,,,,,,
72,1945,,,Primera desde el Valle del Estero Morado.,384,,,,,,,,
73,1945,,,Primera por el Glaciar Iver.,612,,,,,,,,
74,1945,1,19,Primera Absoluta.,613,,,,,,,,
75,1945,2,10,Primera Absoluta.,304,,,,,,,,
76,1945,,,Primera Absoluta.,331,,,,,,,,
77,1945,12,29,Primera Absoluta.,745,,,,,,,,
78,1946,,,Primera Absoluta. Confirmar o buscar fuente!,339,,,,,,,,
79,1946,1,20,Primera Absoluta por Flanco SO.,352,,,,,,,,
80,1946,1,29,Segunda Ascensión.,685,,,,,,,,
81,1946,2,18,Primera por el Glaciar Sur.,653,,,,,,,,
82,1946,4,5,Primera Absoluta.,421,,,,,,,,
83,1946,4,20,Primera Absoluta.,495,,,,,,,,
84,1946,12,,Primera por la Pared Sur.,438,,,,,,,,
85,1946,12,27,Primera Absoluta.,561,,,,,,,,
86,1946,12,,Primera Absoluta.,614,,,,,,,,
87,1947,,,Tercera Absoluta.,685,,,,,,,,
88,1947,,,Primera por la Canaleta Central.,418,,,,,,,,
89,1947,,,Primera desde Lo Valdés.,343,,,,,,,,
90,1947,12,,Primera Absoluta.,604,,,,,,,,
91,1947,12,,Primera Absoluta.,603,,,,,,,,
92,1947,3,27,Primera Absoluta.,478,,,,,,,,
93,1947,3,27,Primera Absoluta.,479,,,,,,,,
94,1947,12,7,Primera Absoluta.,419,,,,,,,,
95,1948,1,3,Primera Absoluta.,673,,,,,,,,
96,1948,1,10,Primera Absoluta.,491,,,,,,,,
97,1948,,,Primera Absoluta.,671,,,,,,,,
98,1948,1,14,Primera Absoluta.,570,,,,,,,,
99,1948,2,8,Primera Absoluta.,257,,,,,,,,
100,1948,2,11,Primera Absoluta.,878,,,,,,,,
101,1948,2,12,Primera Absoluta.,877,,,,,,,,
102,1948,2,16,Segunda Absoluta.,745,,,,,,,,
103,1948,3,7,Primera Absoluta.,658,,,,,,,,
104,1948,12,8,Primera Absoluta.,366,,,,,,,,
105,1948,12,12,Primera Absoluta.,637,,,,,,,,
106,1949,,,Primera por Paso Ventana.,422,,,,,,,,
107,1949,1,29,Primera Absoluta.,567,,,,,,,,
108,1949,2,1,Segunda Ascensión.,637,,,,,,,,
109,1949,2,14,Primera Absoluta.,455,,,,,,,,
110,1949,4,16,Segunda Ascensión.,589,,,,,,,,
111,1949,10,9,Primera Absoluta.,425,,,,,,,,
112,1949,11,1,Primera Absoluta.,368,,,,,,,,
113,1950,1,,Segunda Ascensión. Primera desde Argentina.,467,,,,,,,,
114,1950,1,25,Segunda Ascensión.,569,,,,,,,,
115,1950,2,1,Primera Absoluta.,89,,,,,,,,
116,1950,2,9,Primera Absoluta.,347,,,,,,,,
117,1950,2,14,Segunda Ascensión. Primera desde Chile.,572,,,,,,,,
118,1950,2,17,Primera Absoluta.,605,,,,,,,,
119,1950,2,24,Primera Absoluta.,682,,,,,,,,
120,1950,2,,Primera Absoluta.,90,,,,,,,,
121,1950,3,5,Primera Absoluta.,420,,,,,,,,
122,1950,12,30,Primera Absoluta.,690,,,,,,,,
123,1951,,,Primera por el Filo Sur y Segunda Absoluta.,299,,,,,,,,
124,1951,,,Primera por el Glaciar Colgante,560,,,,,,,,
125,1951,1,5,Segunda Absoluta,753,,,,,,,,
126,1951,1,7,Primera Absoluta,755,,,,,,,,
127,1951,1,8,Segunda Absoluta,747,,,,,,,,
128,1951,1,11,Segunda Absoluta,561,,,,,,,,
129,1951,1,14,Primera Absoluta,579,,,,,,,,
130,1951,1,15,Segunda Absoluta,630,,,,,,,,
131,1951,2,23,Primera Absoluta,290,,,,,,,,
132,1951,2,23,Primera Absoluta,291,,,,,,,,
133,1951,3,3,Tercera Absoluta (Primera por el Ventisquero los Nacimientos),548,,,,,,,,
134,1951,3,17,Cuarta Absoluta. Primera por Grieta NE,548,,,,,,,,
135,1951,3,24,Primera Absoluta,739,,,,,,,,
136,1951,3,24,Primera Absoluta,412,,,,,,,,
137,1951,3,24,Primera Absoluta,765,,,,,,,,
138,1951,4,14,Tercera Absoluta,671,,,,,,,,
139,1951,12,9,Primera por el Canalón Sur,421,,,,,,,,
140,1951,12,9,Primera Absoluta,423,,,,,,,,
141,1951,12,9,Primera Absoluta,240,,,,,,,,
142,1951,12,15,Primera ascensión,880,,,,,,,,
143,1951,12,19,Primera Absoluta,253,,,,,,,,
144,1951,12,30,Primera Absoluta,342,,,,,,,,
145,1952,,,Primera desde Chile,824,,,,,,,,
146,1952,,,Primera por el Glaciar SE),653,,,,,,,,
147,1952,1,8,Primera Absoluta,353,,,,,,,,
148,1952,1,9,Primera Absoluta,581,,,,,,,,
149,1952,1,12,Primera Absoluta,354,,,,,,,,
150,1952,1,13,Primera Absoluta,363,,,,,,,,
151,1952,1,14,Primera Absoluta,339,,,,,,,,
152,1952,2,16,Primera Absoluta,453,,,,,,,,
153,1952,2,27,Tercera Absoluta,630,,,,,,,,
154,1952,4,13,Primera Absoluta,687,,,,,,,,
155,1952,12,8,Primera Absoluta,330,,,,,,,,
156,1952,12,18,Tercera Absoluta,589,,,,,,,,
157,1953,1,3,Primera Absoluta,426,,,,,,,,
158,1953,1,17,Primera Absoluta,382,,,,,,,,
159,1953,2,14,Primera Absoluta,788,,,,,,,,
160,1953,2,17,Primera Absoluta,806,,,,,,,,
161,1953,2,27,Primera Absoluta,305,,,,,,,,
162,1953,2,28,Segunda Absoluta,673,,,,,,,,
163,1953,3,3,Segunda Absoluta,579,,,,,,,,
164,1953,5,2,Primera Absoluta,320,,,,,,,,
165,1954,,,Nueva Ruta desde el Punta Andino (Travesía),421,,,,,,,,
166,1954,12,7,Primera Absoluta,241,,,,,,,,
167,1954,,,Primera por Glaciar del Museo,351,,,,,,,,
168,1954,1,,Primera Absoluta,810,,,,,,,,
169,1954,2,7,Primera Absoluta,263,,,,,,,,
170,1954,2,27,Primera Absoluta,364,,,,,,,,
171,1954,4,3,Primera Absoluta,716,,,,,,,,
172,1954,10,30,Primera Absoluta,316,,,,,,,,
173,1955,1,7,Tercera Absoluta,561,,,,,,,,
174,1955,1,22,Primera Absoluta,720,,,,,,,,
175,1955,2,12,Primera Absoluta,457,,,,,,,,
176,1955,3,10,Primera Absoluta,547,,,,,,,,
177,1955,12,31,Tercera Absoluta,637,,,,,,,,
178,1956,,,Primera por la Cara Norte,299,,,,,,,,
179,1956,1,,Primera desde el Valle del Mesoncito,436,,,,,,,,
180,1956,1,27,Segunda Absoluta,588,,,,,,,,
181,1956,2,15,Primera Absoluta,399,Andina CACh,https://www.perrosalpinos.cl/imagenes/relatosdelosperros/austria/Revista%20Andina%20CACH/Andina%2083%20-%201956.PDF,,,,,,
182,1956,2,19,Tercera Absoluta,588,,,,,,,,
183,1956,2,26,Primera Absoluta,27,,,,,,,,
184,1956,12,31,Primera Absoluta,225,,,,,,,,
185,1957,1,9,Primera Absoluta,566,,,,,,,,
186,1957,1,21,Tercera Absoluta,569,,,,,,,,
187,1957,1,24,Primera Absoluta,875,,,,,,,,
188,1957,1,25,Primera Absoluta,881,,,,,,,,
189,1957,1,26,Primera Absoluta,874,,,,,,,,
190,1957,2,1,Primera Absoluta,763,,,,,,,,
191,1957,12,15,Primera Absoluta,500,,,,,,,,
192,1958,1,2,Tercera Absoluta,747,,,,,,,,
193,1958,1,3,Primera por Monos de Agua y Segunda Absoluta.,746,,,,,,,,
194,1958,1,6,Segunda Absoluta,765,,,,,,,,
195,1958,1,22,Segunda Absoluta,755,,,,,,,,
196,1958,2,7,Primera Absoluta,555,,,,,,,,
197,1958,4,5,Primera Absoluta,749,,,,,,,,
198,1958,9,19,Primera Invernal,587,,,,,,,,
199,1958,11,6,Primera Absoluta,497,,,,,,,,
200,1958,12,14,Primera Absoluta,584,,,,,,,,
201,1958,12,15,Primera Absoluta,250,,,,,,,,
202,1959,1,,Segunda Absoluta,584,,,,,,,,
203,1959,1,19,Primera por el Ventisquero Colgante y Arista Norte.,613,,,,,,,,
204,1959,1,19,Primera por el Canalón Central,421,,,,,,,,
205,1959,1,20,Primera Absoluta,611,,,,,,,,
206,1959,2,2,Primera por el Filo SE,581,,,,,,,,
207,1959,2,9,Primera Absoluta,112,,,,,,,,
208,1959,2,11,Primera Absoluta,87,,,,,,,,
209,1959,2,15,Primera Absoluta,99,,,,,,,,
210,1959,2,24,Primera Absoluta,388,,,,,,,,
211,1959,3,3,Segunda Absoluta,392,,,,,,,,
